blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,postal
102B,PUNGGOL FIELD,17,2001,Y,N,N,N,N,N,PG,86,0,0,0,0,86,0,0,0,0,0,0,0,1.39908525778673,103.905471407838,822102
102C,PUNGGOL FIELD,17,2000,Y,N,N,N,N,N,PG,92,0,0,0,0,92,0,0,0,0,0,0,0,1.3987612775061,103.90493897318,823102
102D,PUNGGOL FIELD,16,2001,Y,N,N,N,N,N,PG,82,0,0,0,26,56,0,0,0,0,0,0,0,1.3984807079544,103.905249752459,824102
103,AH HOOD RD,25,1981,Y,N,N,N,N,N,KWN,96,0,0,0,0,96,0,0,0,0,0,0,0,1.32796267483787,103.844826964123,320103
103,ALJUNIED CRES,12,1977,Y,N,N,N,N,N,GL,154,0,0,0,0,0,0,0,0,0,154,0,0,1.32051692193261,103.883270319267,380103
103,ANG MO KIO AVE 3,12,1977,Y,N,N,Y,N,N,AMK,131,0,0,97,33,1,0,0,0,0,0,0,0,1.37101657804607,103.839304839187,560103
103,BEDOK NTH AVE 4,14,1976,Y,N,N,Y,N,N,BD,154,0,0,126,26,0,2,0,0,0,0,0,0,1.33348259133638,103.93754251438,460103
103,BEDOK RESERVOIR RD,12,1985,Y,Y,N,N,N,N,BD,154,0,0,88,66,0,0,0,0,0,0,0,0,1.32877022232022,103.909381354431,470103
103,BISHAN ST 12,25,1986,Y,N,N,N,N,N,BH,92,0,0,0,0,84,8,0,0,0,0,0,0,1.34551249132107,103.848314162387,570103
103,BT PURMEI RD,11,1982,Y,Y,N,N,N,N,BM,119,0,0,68,50,1,0,0,0,0,0,0,0,1.27208558524996,103.825495615402,090103
103,BT BATOK CTRL,13,1984,Y,N,N,Y,N,N,BB,96,0,0,4,44,48,0,0,0,0,0,0,0,1.34845487555496,103.748339854411,651103
103,C'WEALTH CRES,10,1964,Y,N,N,N,N,N,QT,99,0,0,0,0,0,0,0,0,0,99,0,0,1.30819231626218,103.800098126356,141103
103,CLEMENTI ST 14,14,1984,Y,N,N,N,N,N,CL,104,0,0,0,18,86,0,0,0,0,0,0,0,1.3225885475063,103.769176205799,120103
